model_name,feature_set,fold,n_train,n_valid,threshold,accuracy,balanced_accuracy,precision,recall,f1_macro,f1,roc_auc
RandomForest,TEXT_AUDIO_STRUCT_SEMANTIC,3,40061,10002,0.5199999999999999,0.5815836832633473,0.5724235018783665,0.5833078569244879,0.40338266384778015,0.5641387740803832,0.4769403824521935,0.6048913322447041
RandomForest,TEXT_AUDIO_STRUCT_SEMANTIC,4,40047,10016,0.5299999999999999,0.56060303514377,0.5578222955858315,0.5936958780741254,0.3468231485228652,0.5386051102749024,0.43785924128241155,0.5998264136749399
KNN,TEXT_AUDIO_STRUCT_SEMANTIC,0,40042,10021,0.05,0.49525995409639756,0.4998992747784045,0.49530938123752494,0.999798549556809,0.3312199679658302,0.6624399359316604,0.5491892426339727
KNN,TEXT_AUDIO_STRUCT_SEMANTIC,1,40061,10002,0.05,0.47370525894821036,0.4998944925089681,0.4737526247375263,0.9997889850179362,0.321438263229308,0.642876526458616,0.5508828168411206
KNN,TEXT_AUDIO_STRUCT_SEMANTIC,2,40041,10022,0.05,0.47854719616842945,0.5,0.47854719616842945,1.0,0.3236604130112026,0.6473208260224051,0.5505583409698156
KNN,TEXT_AUDIO_STRUCT_SEMANTIC,3,40061,10002,0.05,0.47310537892421517,0.5001896813353566,0.473,1.0,0.32149259287578386,0.6422267481330618,0.5476181157304777
KNN,TEXT_AUDIO_STRUCT_SEMANTIC,4,40047,10016,0.05,0.4934105431309904,0.5,0.4934105431309904,1.0,0.33039176360475997,0.6607835272095199,0.5513282815384515
XGB,TEXT_AUDIO_STRUCT_SEMANTIC,0,40042,10021,0.4799999999999999,0.5710008981139607,0.5711297334480396,0.564650981917169,0.5850120870265915,0.5709692998554122,0.574651231819531,0.597722466699927
XGB,TEXT_AUDIO_STRUCT_SEMANTIC,1,40061,10002,0.4799999999999999,0.5706858628274345,0.5709644427125597,0.5443492126768985,0.5762819160160372,0.5704260057823061,0.559860598605986,0.606712297169717
XGB,TEXT_AUDIO_STRUCT_SEMANTIC,2,40041,10022,0.4799999999999999,0.5689483137098383,0.5688224209037573,0.5480613893376414,0.5658882402001668,0.5686258755606315,0.5568321707016824,0.6014089948346418
XGB,TEXT_AUDIO_STRUCT_SEMANTIC,3,40061,10002,0.48999999999999994,0.5775844831033793,0.5750960838223075,0.5560986447456121,0.5291754756871035,0.5750594724874754,0.5423031090889394,0.603305668464295
XGB,TEXT_AUDIO_STRUCT_SEMANTIC,4,40047,10016,0.4799999999999999,0.573582268370607,0.5734147566242198,0.5688770273044549,0.5607041683528936,0.5734070348714024,0.5647610312850301,0.6016955932011969
LogReg,FULL,0,40042,10021,0.5099999999999999,0.5774872767188903,0.577593516108148,0.5713169206721376,0.589041095890411,0.5774716202640358,0.5800436421344971,0.603544173377565
LogReg,FULL,1,40061,10002,0.49999999999999994,0.5731853629274145,0.5744319966231188,0.5451923076923076,0.5982274741506647,0.5731684287566975,0.5704799275581044,0.6023872718713741
LogReg,FULL,2,40041,10022,0.5099999999999999,0.5750349231690282,0.5729344312632003,0.5598128759189129,0.523978315262719,0.5727242719186196,0.5413031771674744,0.6045957898963514
LogReg,FULL,3,40061,10002,0.49999999999999994,0.5732853429314138,0.5734740076417918,0.5462369895916733,0.5769556025369978,0.5729601711531095,0.5611762286654328,0.6020561777566753
LogReg,FULL,4,40047,10016,0.49999999999999994,0.575479233226837,0.5757818682527329,0.5659908186687069,0.5987454471873735,0.5753788515536029,0.5819075712881022,0.5984507795353176
RandomForest,FULL,0,40042,10021,0.5199999999999999,0.5586268835445565,0.5573209170492646,0.5752433936022253,0.41659951651893634,0.5490279666583631,0.4832340226661993,0.5905061827798074
RandomForest,FULL,1,40061,10002,0.5299999999999999,0.5714857028594281,0.5615349637952738,0.5738025415444771,0.37159738341422244,0.5498245611971676,0.4510758196721312,0.6000594915505199
RandomForest,FULL,2,40041,10022,0.5099999999999999,0.5690480941927759,0.5635482209150565,0.5644768856447688,0.4353628023352794,0.5588057559185212,0.49158328428487347,0.5918372387118107
RandomForest,FULL,3,40061,10002,0.5199999999999999,0.5793841231753649,0.5700979204830177,0.5804863034779932,0.39873150105708244,0.561443237563052,0.472740944980574,0.602827414847918
RandomForest,FULL,4,40047,10016,0.5099999999999999,0.5732827476038339,0.5716136110693265,0.589544235924933,0.44496155402670984,0.5654585260641338,0.5071494464944649,0.5982877931103681
KNN,FULL,0,40042,10021,0.05,0.4953597445364734,0.49999814762792005,0.49535881824533384,0.999798549556809,0.331439741874157,0.6624841487018621,0.5491696035063293
KNN,FULL,1,40061,10002,0.05,0.47380523895220955,0.5,0.47380523895220955,1.0,0.3214842955023404,0.6429685910046808,0.551458687672848
KNN,FULL,2,40041,10022,0.05,0.47854719616842945,0.5,0.47854719616842945,1.0,0.3236604130112026,0.6473208260224051,0.5457513069795694
KNN,FULL,3,40061,10002,0.05,0.47290541891621674,0.49998913242243515,0.4729,0.9997885835095137,0.32123509480856405,0.6420909708078751,0.5440553348176332
KNN,FULL,4,40047,10016,0.05,0.4934105431309904,0.5,0.4934105431309904,1.0,0.33039176360475997,0.6607835272095199,0.5516078748404631
XGB,FULL,0,40042,10021,0.4799999999999999,0.5700029937132023,0.570165085789924,0.5632361459741263,0.5876309427880742,0.5699392514699162,0.575174997535246,0.5978310595233676
XGB,FULL,1,40061,10002,0.4799999999999999,0.5724855028994201,0.572653484732206,0.5463463463463464,0.5758598860519096,0.5721783471500632,0.560715019519211,0.6075980348623373
XGB,FULL,2,40041,10022,0.48999999999999994,0.5739373378567152,0.5718905791821032,0.5584184806752555,0.52418682235196,0.5717021489625097,0.5407614540761454,0.6032796138317842
XGB,FULL,3,40061,10002,0.4799999999999999,0.5707858428314337,0.5706248175369819,0.5442935333468477,0.5676532769556025,0.5702922158193253,0.55572803477181,0.6036819432993163
XGB,FULL,4,40047,10016,0.4799999999999999,0.5743809904153354,0.5741820330656267,0.5700433257685166,0.5590853905301497,0.5741622609809338,0.5645111860251303,0.6024416140114568
