company,emotion,modality,hedges_g,ci_low,ci_high,p_value
AMZN,sadness,text,-0.0494116361826888,-0.3453460159026708,0.2465227435372932,0.7448384540601849
AMZN,fear,audio,-0.27027238007060744,-0.5675094634503932,0.026964703309178273,0.07706069030514498
AMZN,fear,text,-0.011655045705946188,-0.3075467881557637,0.28423669674387136,0.9395994861950661
MCD,happy,audio,0.06645493347859922,-0.1775950860994404,0.31050495305663883,0.5932891025430712
MCD,happy,text,-0.09430416114736573,-0.3384231241040356,0.14981480180930412,0.44556894906789235
MCD,neutral,audio,0.16698363512070746,-0.07742755027960688,0.41139482052102183,0.18125680805742392
MCD,neutral,text,0.04938023050957307,-0.19463932514214552,0.29339978616129164,0.6911862244560062
MCD,surprise,audio,-0.030172116795307104,-0.2741681339855541,0.21382390039493993,0.8076075479988079
MCD,surprise,text,0.04815260343985123,-0.1958651078830579,0.29217031476276034,0.6965116805859233
MCD,disgust,audio,0.10617786228284432,-0.13797775046260044,0.35033347502828904,0.39334148977751704
MCD,disgust,text,0.003672793951084287,-0.2403094066211822,0.24765499452335074,0.9761946616897548
MCD,anger,audio,-0.10237410976072508,-0.3465175097202329,0.1417692901987827,0.4082534675892827
MCD,anger,text,0.043505546931553424,-0.20050560327751643,0.2875166971406233,0.7260749449155465
MCD,sadness,audio,-0.23216956362777427,-0.4769805661249799,0.012641438869431365,0.06191142152902902
MCD,sadness,text,0.03544124289546302,-0.20856010012641307,0.2794425859173391,0.7755938678751109
MCD,fear,audio,-0.1025273698618674,-0.3466712532950429,0.1416165135713081,0.40923689140523645
MCD,fear,text,-0.06358479686105731,-0.3076290680131769,0.18045947429106227,0.6075054205516545
CHD,happy,audio,0.20672235625219482,-0.06157326986637107,0.4750179823707607,0.12889526753595193
CHD,happy,text,-0.2063547231523993,-0.4746477791225998,0.06193833281780117,0.1299266650863349
CHD,neutral,audio,-0.2018599615851019,-0.4701219623082344,0.06640203913803061,0.14024577037048533
CHD,neutral,text,0.20519750616113058,-0.06308748932999636,0.4734825016522575,0.13300317262825115
CHD,surprise,audio,0.1127613664209978,-0.15502572743649365,0.3805484602784892,0.4078861441714228
CHD,surprise,text,0.15803814621725876,-0.10995676856931319,0.4260330610038307,0.246532767238591
CHD,disgust,audio,0.12304653751327121,-0.14478167802857278,0.3908747530551152,0.3663222287525482
CHD,disgust,text,-0.07681450318061694,-0.3444860198436525,0.19085701348241862,0.5721335619843688
CHD,anger,audio,0.09117369210933678,-0.1765387409452004,0.35888612516387397,0.5051427882887551
CHD,anger,text,0.0021431276560542763,-0.2654283541711414,0.26971460948325,0.9874080831530252
CHD,sadness,audio,-0.03868027344744904,-0.3062770661660672,0.2289165192711691,0.776441638719079
CHD,sadness,text,-0.13127599282937455,-0.3991396892882998,0.13658770362955067,0.3356593017039038
CHD,fear,audio,-0.2042732078469097,-0.4725517976201201,0.06400538192630076,0.13663811337853843
CHD,fear,text,-0.07431759853128223,-0.3419827136358502,0.19334751657328575,0.5854566217650268
ACN,happy,audio,-0.06994701893136089,-0.3433623643160819,0.2034683264533601,0.6161857105756796
ACN,happy,text,-0.09652469837518,-0.3700160265483751,0.17696662979801508,0.4917013234608904
ACN,neutral,audio,0.23773099159994107,-0.036569596758099815,0.512031579957982,0.09014651851307655
ACN,neutral,text,0.5340812676636959,0.25589234228015545,0.8122701930472364,0.00014123219442130664
ACN,surprise,audio,-0.297936303519312,-0.5727884708565348,-0.023084136182089154,0.035829812366569305
ACN,surprise,text,0.06387667782853505,-0.20952471431020492,0.33727806996727505,0.6477207302523511
ACN,disgust,audio,-0.12827722532295754,-0.4018910936463874,0.14533664300047233,0.3657878225133742
ACN,disgust,text,-0.2973231035305179,-0.5721690341641635,-0.022477172896872233,0.03481281444092057
ACN,anger,audio,-0.06124543644505963,-0.3346411734944481,0.21215030060432882,0.6648140075449933
ACN,anger,text,-0.33448741391388603,-0.6097342555015602,-0.05924057232621183,0.018275838939103936
ACN,sadness,audio,0.18539059307995137,-0.08853057820630517,0.4593117643662079,0.19237759380787303
ACN,sadness,text,-0.2242739749109986,-0.4984681014408626,0.04992015161886543,0.11106979166868373
ACN,fear,audio,0.11126488622297985,-0.1622790294371565,0.3848088018831162,0.42821078313184513
ACN,fear,text,-0.27821137658845996,-0.5528693013271385,-0.003553451849781397,0.048455758142328324
CSX,happy,audio,-0.21681049272241845,-0.468513452454312,0.0348924670094751,0.09067879588904666
CSX,happy,text,-0.3286652964457991,-0.5813343711698669,-0.07599622172173132,0.010614514756308698
CSX,neutral,audio,0.12497531160833465,-0.12622919453674136,0.37617981775341064,0.32879488801521345
CSX,neutral,text,0.30306388972123594,0.05065054531597035,0.5554772341265015,0.018382832958606068
CSX,surprise,audio,0.2076404871030264,-0.0440007162523654,0.4592816904584182,0.10526291217578634
CSX,surprise,text,0.10944098091202357,-0.14170563268493497,0.36058759450898215,0.39187336997840144
CSX,disgust,audio,-0.2368084398940448,-0.48865527413915477,0.015038394351065215,0.06467816068849466
CSX,disgust,text,-0.004054407544407134,-0.25501077300903974,0.24690195792022548,0.974689620601091
CSX,anger,audio,0.030443127982137646,-0.22052772237773702,0.2814139783420123,0.8115948183571667
CSX,anger,text,-0.07697696753209589,-0.32802733893113567,0.17407340386694392,0.547027679929434
CSX,sadness,audio,0.01823314918099044,-0.23272824453858004,0.26919454290056094,0.8864599095686252
CSX,sadness,text,0.019547185147017226,-0.23141499849626965,0.27050936879030407,0.8783086498776967
CSX,fear,audio,-0.1894380040960853,-0.4409644861788484,0.062088477986677826,0.1392407630589822
