timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/02/25 17:19:42.625, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:43.625, 0, NVIDIA A10G, 0 %, 0 %, 1771 MiB, 23028 MiB
2026/02/25 17:19:43.625, 1, NVIDIA A10G, 19 %, 7 %, 1617 MiB, 23028 MiB
2026/02/25 17:19:43.625, 2, NVIDIA A10G, 21 %, 7 %, 1533 MiB, 23028 MiB
2026/02/25 17:19:43.625, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:44.625, 0, NVIDIA A10G, 0 %, 0 %, 1771 MiB, 23028 MiB
2026/02/25 17:19:44.625, 1, NVIDIA A10G, 0 %, 0 %, 1617 MiB, 23028 MiB
2026/02/25 17:19:44.625, 2, NVIDIA A10G, 19 %, 6 %, 1533 MiB, 23028 MiB
2026/02/25 17:19:44.625, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:45.625, 0, NVIDIA A10G, 0 %, 0 %, 1771 MiB, 23028 MiB
2026/02/25 17:19:45.625, 1, NVIDIA A10G, 0 %, 0 %, 1617 MiB, 23028 MiB
2026/02/25 17:19:45.626, 2, NVIDIA A10G, 2 %, 1 %, 1533 MiB, 23028 MiB
2026/02/25 17:19:45.626, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:46.626, 0, NVIDIA A10G, 0 %, 0 %, 1771 MiB, 23028 MiB
2026/02/25 17:19:46.626, 1, NVIDIA A10G, 0 %, 0 %, 1617 MiB, 23028 MiB
2026/02/25 17:19:46.626, 2, NVIDIA A10G, 0 %, 0 %, 1533 MiB, 23028 MiB
2026/02/25 17:19:46.626, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:47.626, 0, NVIDIA A10G, 0 %, 0 %, 1771 MiB, 23028 MiB
